Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,LAST_NAME,FIRST_NAME,SP_TITLE
Bob Burns,NH,U.S. House New Hampshire District 2,Representative,Regular,9/11/18,Lost,None,None,15.9,No,No,,,,,,No,,,,,,,,H8NH02309,"BURNS, BOB",C,2.0,REP,43186.5,0.0,43113.71,0.0,0.0,72.79,25000.0,12000.0,0.0,0.0,0.0,12000.0,6186.5,NH,2.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,burns, bob,
Paul Dilks,NJ,U.S. House New Jersey District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8NJ01259,"DILKS, PAUL E",C,2.0,REP,13998.0,0.0,13985.83,0.0,0.0,12.17,0.0,1000.0,0.0,1000.0,0.0,0.0,10898.0,NJ,1.0,,,,,,1000.0,1100.0,12/31/2018,0.0,0.0,dilks, paul e,
Jay Webber,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Advanced,None,On the Ballot,40.04,Yes,Yes,,,,,,Yes,,,,,,,,H8NJ11217,"WEBBER, JAY",O,2.0,REP,1669131.56,119407.24,1646820.97,0.0,0.0,22310.59,0.0,2001.58,0.0,2001.58,0.0,0.0,1345173.04,NJ,11.0,,,,,,202549.7,0.0,12/31/2018,0.0,1000.0,webber, jay,
Martin Hewitt,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,3.48,No,No,,,,,No,No,,,,,,,,H8NJ11159,"HEWITT, MARTIN",O,2.0,REP,18887.99,0.0,18887.99,0.0,0.0,0.0,2364.98,0.0,0.0,0.0,0.0,0.0,16498.01,NJ,11.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,hewitt, martin,
Antony Ghee,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,21.93,No,Yes,,,,,No,No,,,,,,,,H8NJ11233,"GHEE, ANTONY",O,2.0,REP,110605.19,0.0,110605.19,0.0,0.0,0.0,347.15,2700.0,0.0,2700.0,0.0,0.0,92508.04,NJ,11.0,,,,,,15050.0,0.0,06/30/2018,0.0,0.0,ghee, antony,
Patrick Allocco,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,4.1,No,No,,,,,No,No,,,,,,,,H8NJ11225,"ALLOCCO, PATRICK S KD2-ONW",O,2.0,REP,15500.0,0.0,19047.03,0.0,0.0,0.0,0.0,5600.0,0.0,0.0,0.0,0.0,9900.0,NJ,11.0,,,,,,0.0,0.0,10/14/2018,1000.0,0.0,allocco, patrick s kd2-onw,
Peter de Neufville,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,None,30.45,No,Yes,,,,,No,No,,,,,,,,H8NJ11241,"NEUFVILLE, PETER DE",O,2.0,REP,1316801.72,0.0,1300823.92,0.0,0.0,15977.8,0.0,1238164.87,0.0,0.0,0.0,250000.0,53100.0,NJ,11.0,,,,,,1000.0,0.0,12/31/2018,0.0,0.0,neufville, peter de,
Daryl Kipnis,NJ,U.S. House New Jersey District 12,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,No,,,,,,,,,H8NJ12108,"KIPNIS, DARYL",C,2.0,REP,24783.35,300.0,24708.35,125.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,24183.35,NJ,12.0,,,,,,100.0,0.0,12/31/2018,1000.0,0.0,kipnis, daryl,
Seth Grossman,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,39.05,Yes,,,,,,No,,,,,,,,,H8NJ02232,"GROSSMAN, SETH",O,2.0,REP,314048.06,0.0,308650.87,0.0,0.0,5274.19,50.0,23447.85,0.0,5400.0,0.0,18047.85,276139.2,NJ,2.0,,,,,,6300.0,5900.0,12/31/2018,1564.93,0.0,grossman, seth,
Samuel Fiocchi,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,23.35,No,,,,,,No,,,,,,,,,H8NJ02240,"FIOCCHI, SAMUEL",O,2.0,REP,68129.02,0.0,68129.02,0.0,0.0,0.0,4133.45,50000.0,0.0,50000.0,0.0,0.0,11995.57,NJ,2.0,,,,,,2000.0,0.0,06/30/2018,0.0,0.0,fiocchi, samuel,
