Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,LAST_NAME,FIRST_NAME,SP_TITLE
Lizzetta Hill McConnell,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Lost,None,None,-30.68,19.23,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,H8AL01082,"MCCONNELL, LIZZETTA HILL",C,1.0,DEM,5127.0,0.0,6021.0,0.0,0.0,-894.0,0.0,0.0,0.0,0.0,0.0,0.0,5127.0,AL,1.0,,,,,,0.0,0.0,06/30/2018,0.0,0.0,mcconnell, lizzetta hill,
Robert Kennedy Jr.,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-30.68,80.769997,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,H8AL01066,"KENNEDY, ROBERT JR.",C,1.0,DEM,166845.21,0.0,166845.21,0.0,0.0,0.0,0.0,120000.0,0.0,120000.0,0.0,0.0,39095.21,AL,1.0,,,,,,7750.0,0.0,12/31/2018,0.0,0.0,kennedy, robert ,
Robert Kennedy Jr.,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-30.68,80.769997,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,S8AL00365,"KENNEDY, ROBERT JR",C,1.0,DEM,37129.0,0.0,37129.0,0.0,0.0,0.0,129.0,16577.0,0.0,0.0,0.0,0.0,20423.0,AL,0.0,,,,,,0.0,0.0,12/31/2017,14.0,0.0,kennedy, robert jr,
Audri Scott Williams,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,None,None,-33.080002,39.560001,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,H8AL02163,"WILLIAMS, AUDRI SCOTT 1955",C,1.0,DEM,35365.02,0.0,35210.22,0.0,279.0,-328.0,2200.0,0.0,0.0,0.0,0.0,0.0,33165.02,AL,2.0,,,,,,0.0,0.0,06/30/2018,0.0,0.0,williams, audri scott 1955,
Tabitha Isner,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.080002,60.439999,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,H8AL02197,"ISNER, TABITHA KAY",C,1.0,DEM,524941.35,0.0,524941.35,0.0,0.0,0.0,14285.73,0.0,0.0,0.0,0.0,0.0,501490.57,AL,2.0,,,,,,8605.0,0.0,12/31/2018,4796.05,1000.0,isner, tabitha kay,
Adia McClellan Winfrey,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,None,-33.66,34.240002000000004,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,H8AL03062,"WINFREY, ADIA MCCLELLAN DR",C,1.0,DEM,14535.25,0.0,9959.35,0.0,0.0,0.59,140.0,801.25,3980.0,0.0,0.0,0.0,9614.0,AL,3.0,,,,,,0.0,0.0,12/31/2018,203.6,0.0,winfrey, adia mcclellan dr,
Mallory Hagan,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.66,65.739998,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,H8AL03054,"HAGAN, MALLORY",C,1.0,DEM,467514.71,0.0,464472.2,0.0,0.0,2917.53,0.0,0.0,0.0,0.0,0.0,2493.22,409309.26,AL,3.0,,,,,,30500.0,500.0,12/31/2018,3935.43,0.0,hagan, mallory,
James Lee Auman,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-62.48,54.130001,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,H8AL04094,"AUMAN, JAMES LEE",C,1.0,DEM,70425.87,0.0,77551.69,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1000.0,61160.87,AL,4.0,,,,,,9225.0,0.0,12/31/2018,0.0,0.0,auman, james lee,
Ricky Neighbors,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,None,-62.48,45.869999,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,,H8AL04086,"NEIGHBORS, RICKY ALLEN",C,1.0,DEM,21088.35,0.0,17429.2,0.0,0.0,4805.37,0.0,0.0,0.0,0.0,0.0,0.0,20588.35,AL,4.0,,,,,,500.0,0.0,09/30/2018,0.0,0.0,neighbors, ricky allen,
Peter Joffrion,AL,U.S. House Alabama District 5,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-34.830002,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,H8AL05190,"JOFFRION, PETER S.",C,1.0,DEM,590173.38,0.0,587237.93,0.0,0.0,2935.45,1156.51,5000.0,0.0,5000.0,0.0,0.0,553386.53,AL,5.0,,,,,,29823.41,0.0,12/31/2018,5670.3,4000.0,joffrion, peter s.,
Danner Kline,AL,U.S. House Alabama District 6,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-48.459998999999996,100.0,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,,H8AL06099,"KLINE, DANNER",C,1.0,DEM,287432.23,0.0,287432.23,0.0,0.0,0.0,818.0,0.0,0.0,0.0,0.0,0.0,277614.23,AL,6.0,,,,,,9000.0,0.0,11/26/2018,35.0,0.0,kline, danner,
Chintan Desai,AR,U.S. House Arkansas District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.810001,100.0,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,H8AR01029,"DESAI, CHINTAN",C,1.0,DEM,137153.22,0.0,137153.22,0.0,0.0,0.0,4597.63,0.0,0.0,0.0,0.0,0.0,120235.13,AR,1.0,,,,,,12320.46,0.0,11/30/2018,0.0,0.0,desai, chintan,
Everett Clarke Tucker,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-13.51,57.82,Yes,White,No,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,,H8AR02159,"TUCKER, EVERETT CLARKE IV",C,1.0,DEM,2366991.03,25211.13,2359234.62,0.0,0.0,7756.41,200.0,0.0,0.0,0.0,0.0,4500.0,2046047.43,AR,2.0,,,,,,282732.47,6300.0,12/31/2018,2400.93,2500.0,tucker, everett clarke iv,
Gwendolynn Combs,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,20.299999,No,White,Yes,No,No,No,No,No,No,,Yes,,,,,,,,,,,H8AR02142,"COMBS, GWENDOLYNN MILLEN MRS.",C,1.0,DEM,33934.76,0.0,31979.38,0.0,0.0,2456.03,1899.4,0.0,0.0,0.0,0.0,0.0,32035.36,AR,2.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,combs, gwendolynn millen mrs.,
Jonathan Dunkley,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,9.340000199999999,No,Nonwhite,No,No,No,No,No,No,No,,No,,,,,,,,,,,H8AR02167,"DUNKLEY, JONATHAN",C,1.0,DEM,34466.05,0.0,34298.21,0.0,250.0,417.84,0.0,10000.0,0.0,0.0,0.0,10000.0,24466.05,AR,2.0,,,,,,0.0,0.0,07/25/2018,0.0,0.0,dunkley, jonathan,
Paul Spencer,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,12.55,No,White,No,No,No,No,No,No,No,,No,,,,,,,,,,,H8AR02134,"SPENCER, PAUL JOHN MR.",C,1.0,DEM,270092.89,0.0,270092.89,0.0,0.0,0.0,1583.0,0.0,0.0,0.0,0.0,0.0,265593.99,AR,2.0,,,,,,0.0,0.0,12/31/2018,2083.0,0.0,spencer, paul john mr.,
Josh Mahony,AR,U.S. House Arkansas District 3,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.560001,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,,H8AR03074,"MAHONY, JOSH",C,1.0,DEM,266234.41,0.0,265214.3,0.0,0.0,186.36,89906.2,42500.0,0.0,0.0,0.0,46666.0,127828.21,AR,3.0,,,,,,6000.0,0.0,12/31/2018,0.39,0.0,mahony, josh,
Hayden Shamel,AR,U.S. House Arkansas District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-33.68,100.0,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,H8AR04130,"SHAMEL, HAYDEN CATHERINE",C,1.0,DEM,157247.12,0.0,155049.94,0.0,0.0,2197.18,3576.2,0.0,0.0,0.0,0.0,0.0,131411.62,AR,4.0,,,,,,12325.88,7764.32,12/31/2018,309.0,2701.81,shamel, hayden catherine,
Brianna Westbrook,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,-24.559998999999998,39.720001,No,White,No,Yes,No,No,No,No,,,,,,,Yes,Yes,,,,,,H8AZ08059,"WESTBROOK, BRIANNA",O,1.0,DEM,42870.67,0.0,38439.89,3829.21,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,39170.67,AZ,8.0,,,,,,250.0,3175.0,06/30/2018,0.0,0.0,westbrook, brianna,
Hiral Tipirneni,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,On the Ballot,-24.559998999999998,60.220001,Yes,Nonwhite,No,No,No,No,Yes,No,,,,,,,No,No,,,,,,H8AZ08083,"TIPIRNENI, HIRAL",O,1.0,DEM,4579945.1,0.0,4479343.36,0.0,0.0,100601.74,23593.05,70000.0,0.0,0.0,0.0,70000.0,4279324.0,AZ,8.0,,,,,,206952.6,0.0,12/31/2018,103928.84,0.0,tipirneni, hiral,
Audrey Denney,CA,U.S. House California District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-21.379998999999998,43.650002,Yes,White,No,No,No,No,No,No,,,,,,,Yes,Yes,,No,,,,H8CA01257,"DENNEY, AUDREY",C,1.0,DEM,1097584.95,0.0,1097092.46,0.0,0.0,492.49,0.0,4000.0,0.0,4000.0,0.0,0.0,1051203.75,CA,1.0,,,,,,38045.2,2000.0,12/31/2018,2758.81,700.0,denney, audrey,
David Peterson,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379998999999998,7.3000002,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,H6CA01202,"PETERSON, DAVID",C,1.0,DEM,17275.0,0.0,12697.0,0.0,0.0,4578.0,0.0,15000.0,0.0,0.0,0.0,15000.0,2275.0,CA,1.0,,,,,,0.0,0.0,03/31/2018,0.0,0.0,peterson, david,
Jessica Holcombe,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379998999999998,28.540001,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,,H8CA01190,"HOLCOMBE, JESSICA JONES",C,1.0,DEM,290020.57,0.0,290020.57,0.0,0.0,0.0,104.0,1500.0,0.0,1500.0,0.0,0.0,288416.57,CA,1.0,,,,,,0.0,0.0,08/23/2018,2671.66,0.0,holcombe, jessica jones,
Dorothy Nygard,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,1.89,No,White,No,No,No,No,Yes,No,No,No,No,,,,Yes,Yes,,No,,,,H8CA10118,"NYGARD, DOROTHY (DOTTY)",C,1.0,DEM,68767.16,0.0,68767.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63413.21,CA,10.0,,,,,,3000.0,0.0,06/30/2018,100.0,0.0,nygard, dorothy (dotty),
Josh Harder,CA,U.S. House California District 10,Representative,Regular,6/5/18,Advanced,None,On the Ballot,0.62,35.57,Yes,White,No,No,No,No,Yes,No,Yes,No,Yes,,,,No,No,,No,,,,H8CA10126,"HARDER, JOSH",C,1.0,DEM,8441529.09,651463.29,8421288.43,0.0,0.0,20240.66,0.0,0.0,0.0,0.0,0.0,3000.0,7411079.72,CA,10.0,,,,,,350099.9,1396.2,12/31/2018,51546.84,2425.0,harder, josh,
Michael Eggman,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,21.34,No,White,No,No,No,No,No,No,No,No,No,,,,No,No,,No,,,,H4CA10075,"EGGMAN, MICHAEL RAY",C,1.0,DEM,346820.52,0.0,398230.02,0.0,55695.28,4285.78,0.0,0.0,0.0,0.0,0.0,0.0,279896.29,CA,10.0,,,,,,34500.0,0.0,09/30/2018,18085.0,10000.0,eggman, michael ray,
Michael James Barkley,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,4.98,No,White,Yes,No,No,No,Yes,No,No,No,No,,,,No,No,,No,,,,H2CA00096,"BARKLEY, MICHAEL JAMES",C,1.0,DEM,48734.3,0.0,13840.37,0.0,-32074.07,2819.86,0.0,13681.77,0.0,0.0,0.0,46147.31,2236.14,CA,10.0,,,,,,0.0,0.0,12/31/2018,2.33,0.0,barkley, michael james,
Sue Zwahlen,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,17.049999,No,White,No,No,Yes,No,Yes,No,No,No,No,,,,No,No,,No,,,,H8CA10183,"ZWAHLEN, SUE",C,1.0,DEM,840266.61,0.0,480284.77,0.0,0.0,0.0,366402.78,360450.0,0.0,468.16,0.0,359981.84,112972.7,CA,10.0,,,,,,0.0,0.0,09/30/2018,478.43,0.0,zwahlen, sue,
Virginia Madueno,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,19.17,No,Nonwhite,No,No,Yes,No,No,No,No,Yes,Yes,,,,No,No,,Yes,,,,H8CA10175,"MADUENO, VIRGINIA",C,1.0,DEM,355454.26,0.0,355954.26,0.0,0.0,0.0,2402.56,10000.0,0.0,0.0,0.0,0.0,313931.7,CA,10.0,,,,,,29000.0,0.0,12/31/2018,30873.43,0.0,madueno, virginia,
Terrance John Cox,CA,U.S. House California District 21,Representative,Regular,6/5/18,Advanced,None,On the Ballot,11.87,100.0,Yes,Nonwhite,No,No,No,No,Yes,No,Yes,No,,,,,,,,,,,,H8CA10167,"COX, TERRANCE JOHN (TJ)",C,1.0,DEM,2975996.02,282046.97,2921204.91,0.0,0.0,54791.11,8000.0,257500.0,0.0,19000.0,0.0,238500.0,2025096.86,CA,21.0,,,,,,392740.1,8461.22,12/31/2018,27213.74,0.0,cox, terrance john (tj),
Andrew Janz,CA,U.S. House California District 22,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-13.41,78.83000200000001,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,H8CA22139,"JANZ, ANDREW",C,1.0,DEM,9233869.01,145709.04,9211821.7,0.0,0.0,22047.31,0.0,0.0,0.0,0.0,0.0,0.0,8957855.58,CA,22.0,,,,,,116743.71,1595.96,12/31/2018,126723.67,8500.0,janz, andrew,
Bobby Bliatout,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,-13.41,12.26,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,H8CA22154,"BLIATOUT, BOBBY",C,1.0,DEM,394178.67,0.0,394178.67,0.0,0.0,0.0,205831.61,75000.0,2700.0,75000.0,2700.0,0.0,105154.47,CA,22.0,,,,,,0.0,0.0,08/30/2018,2302.43,0.0,bliatout, bobby,
Ricardo Franco,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,-13.41,8.909999800000001,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,,H8CA22147,"FRANCO, RICARDO JOSE",C,1.0,DEM,51123.99,0.0,49008.28,0.0,0.0,2115.71,4542.0,0.0,0.0,0.0,0.0,25266.04,44863.53,CA,22.0,,,,,,1000.0,0.0,12/31/2018,0.0,0.0,franco, ricardo jose,
Kurtis Wilson,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,-25.379998999999998,4.8400002,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,H8CA23111,"WILSON, KURTIS",C,1.0,DEM,12040.87,0.0,11839.91,0.0,0.0,200.96,480.14,3212.73,0.0,0.0,0.0,3212.73,8348.0,CA,23.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,wilson, kurtis,
Mary Helen Barro,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,-25.379998999999998,18.200001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,H8CA23129,"BARRO, MARY",C,1.0,DEM,12509.54,0.0,12438.97,0.0,0.0,70.57,11855.54,0.0,0.0,0.0,0.0,4583.45,654.0,CA,23.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,barro, mary,
Tatiana Matta,CA,U.S. House California District 23,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-25.379998999999998,42.720001,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,H8CA23103,"MATTA, TATIANA",C,1.0,DEM,116057.86,0.0,106342.6,0.0,0.0,9679.28,1418.36,0.0,0.0,0.0,0.0,0.0,94708.04,CA,23.0,,,,,,19825.0,0.0,12/31/2018,1.0,0.0,matta, tatiana,
Wendy Reed,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,-25.379998999999998,34.25,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,H6CA23206,"REED, WENDY",C,1.0,DEM,27394.25,0.0,28264.93,0.0,0.0,0.0,0.0,4499.23,0.0,1831.04,0.0,0.0,21882.34,CA,23.0,,,,,,1000.0,0.0,12/31/2018,3.58,0.0,reed, wendy,
Bryan Caforio,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,2.02,38.259997999999996,No,White,No,No,No,No,No,No,No,No,Yes,,,,No,Yes,,,,,,H6CA25177,"CAFORIO, BRYAN",C,1.0,DEM,1217418.32,0.0,1220320.16,0.0,2977.6,75.76,12682.51,96000.0,0.0,0.0,0.0,96000.0,1014668.02,CA,25.0,,,,,,62796.4,0.0,12/31/2018,84536.48,10000.0,caforio, bryan,
Jess Phoenix,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,2.02,13.24,No,White,No,No,No,No,Yes,No,No,No,Yes,,,,Yes,No,,,,,,H8CA25082,"PHOENIX, JESS",C,1.0,DEM,495219.91,0.0,495181.29,0.0,0.0,38.62,2645.7,0.0,0.0,0.0,0.0,0.0,483087.19,CA,25.0,,,,,,3850.0,0.0,12/31/2018,12836.13,0.0,phoenix, jess,
Katherine Lauren Hill,CA,U.S. House California District 25,Representative,Regular,6/5/18,Advanced,None,On the Ballot,2.02,42.970001,Yes,White,No,Yes,No,No,No,No,Yes,Yes,Yes,,,,No,No,,,,,,H8CA25074,"HILL, KATHERINE LAUREN",C,1.0,DEM,8569626.33,805611.93,8505044.12,33000.0,0.0,64582.21,13938.06,0.0,0.0,0.0,0.0,1346.16,6991652.12,CA,25.0,,,,,,648803.01,300.0,12/31/2018,49002.38,4200.0,hill, katherine lauren,
Mary Pallant,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,2.02,5.54,No,White,No,No,No,No,No,No,No,No,,,,,No,No,,,,,,H6CA24246,"PALLANT, MARY",C,1.0,DEM,8295.09,0.0,8295.09,0.0,0.0,0.0,3338.09,2700.0,0.0,67.91,0.0,2632.09,2257.0,CA,25.0,,,,,,0.0,0.0,06/30/2018,0.0,0.0,pallant, mary,
Andy Thorburn,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,20.440001000000002,No,White,No,No,No,Yes,No,No,No,No,Yes,,,,Yes,,,No,,No,,H8CA39182,"THORBURN, ANDY",O,1.0,DEM,3161418.81,0.0,3161380.92,0.0,0.0,37.89,26000.0,2860900.0,0.0,0.0,0.0,0.0,272314.92,CA,39.0,,,,,,0.0,0.0,12/31/2018,59422.55,0.0,thorburn, andy,
Gilbert Cisneros,CA,U.S. House California District 39,Representative,Regular,6/5/18,Advanced,None,On the Ballot,2.99,43.23,Yes,Nonwhite,Yes,No,No,Yes,No,No,Yes,No,Yes,,,,No,,,No,,Yes,,H8CA39174,"CISNEROS, GILBERT",O,1.0,DEM,12265194.02,464859.65,12183755.2,0.0,0.0,81438.82,52761.86,9200000.0,0.0,0.0,0.0,579849.73,2179631.66,CA,39.0,,,,,,83908.2,1544.18,12/31/2018,9146.74,3750.0,cisneros, gilbert,
Herbert Lee,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,9.4200001,No,Nonwhite,No,No,No,Yes,Yes,No,No,No,No,,,,No,,,No,,No,,H8CA39299,"LEE, HERBERT",O,1.0,DEM,1064247.19,0.0,1057258.46,0.0,0.0,6988.73,0.0,1064246.19,0.0,0.0,0.0,249053.16,1.0,CA,39.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,lee, herbert,
Mai-Khanh Tran,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,11.69,No,Nonwhite,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,No,,,No,,No,,H8CA39158,"TRAN, MAI-KHANH",O,1.0,DEM,1549901.96,19624.26,1549901.96,0.0,0.0,0.0,0.0,780000.0,0.0,47926.16,0.0,0.0,719047.06,CA,39.0,,,,,,27600.0,0.0,12/31/2018,130231.26,0.0,tran, mai-khanh,
Samir Jammal,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,11.98,No,Nonwhite,No,No,No,No,No,Yes,No,No,Yes,,,,No,,,Yes,,No,,H8CA39166,"JAMMAL, SAMIR",O,1.0,DEM,577017.47,0.0,576465.94,750.0,0.0,0.0,5412.86,0.0,0.0,0.0,0.0,0.0,561358.86,CA,39.0,,,,,,7200.0,0.0,12/31/2018,16616.68,0.0,jammal, samir,
Suzi Park Leggett,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.99,3.24,No,Nonwhite,No,No,No,No,No,No,No,No,No,,,,No,,,No,,No,,H8CA39257,"LEGGETT, SUZI",O,1.0,DEM,43295.81,0.0,43295.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43295.81,CA,39.0,,,,,,0.0,0.0,12/31/2018,5195.46,0.0,leggett, suzi,
Jessica Morse,CA,U.S. House California District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-18.16,49.099998,Yes,White,No,No,No,No,No,No,,,Yes,,,,No,No,,Yes,,,,H8CA04210,"MORSE, JESSICA",C,1.0,DEM,3813237.37,157804.39,3711060.21,0.0,0.0,102177.16,231.81,0.0,0.0,0.0,0.0,0.0,3432526.88,CA,4.0,,,,,,218561.69,1978.46,12/31/2018,43157.27,700.0,morse, jessica,
Regina Bateson,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,-18.16,30.07,No,White,No,No,No,No,No,No,,,Yes,,,,No,No,,No,,,,H8CA04194,"BATESON, REGINA",C,1.0,DEM,804901.59,0.0,804901.59,0.0,0.0,0.0,1766.99,0.0,0.0,0.0,0.0,0.0,794000.5,CA,4.0,,,,,,0.0,0.0,08/09/2018,47110.95,0.0,bateson, regina,
Roza Calderon,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,-18.16,15.57,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,No,,,,H8CA04202,"CALDERON, ROZA I",C,1.0,DEM,97376.41,0.0,32122.37,0.0,0.0,66106.84,0.0,55000.0,0.0,0.0,0.0,55000.0,42376.41,CA,4.0,,,,,,0.0,0.0,03/31/2018,2700.0,0.0,calderon, roza i,
Julia Peacock,CA,U.S. House California District 42,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-15.31,76.019997,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,,H8CA42228,"PEACOCK, JULIA",C,1.0,DEM,159046.35,0.0,149914.01,0.0,0.0,9480.05,0.0,0.0,0.0,0.0,0.0,8459.29,153292.78,CA,42.0,,,,,,4709.54,749.03,12/31/2018,53.7,0.0,peacock, julia,
Norman Quintero,CA,U.S. House California District 42,Representative,Regular,6/5/18,Lost,None,None,-15.31,23.98,No,Nonwhite,No,No,No,No,No,No,,,No,,,,,,,No,,,,H8CA42244,"QUINTERO, NORMAN",C,1.0,DEM,136211.3,0.0,136211.3,0.0,0.0,0.0,250.0,124006.73,0.0,0.0,0.0,0.0,11954.57,CA,42.0,,,,,,0.0,0.0,11/23/2018,0.0,0.0,quintero, norman,
Brian Forde,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,-1.4299998999999999,13.06,No,White,No,No,No,No,Yes,Yes,No,No,Yes,,No,,No,,No,,,,,H8CA45189,"FORDE, BRIAN",C,1.0,DEM,1701475.61,0.0,1473652.99,0.0,0.0,227572.62,5400.0,0.0,0.0,0.0,0.0,0.0,1674530.55,CA,45.0,,,,,,12500.0,0.0,12/31/2018,112515.53,0.0,forde, brian,
David Min,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,-1.4299998999999999,38.740002000000004,No,Nonwhite,No,No,No,No,No,No,No,No,Yes,,No,,No,,No,,,,,H8CA45148,"MIN, DAVID",C,1.0,DEM,1236926.94,0.0,1236926.94,0.0,0.0,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,1172259.32,CA,45.0,,,,,,56050.0,0.0,09/18/2018,116946.12,5100.0,min, david,
Katherine Porter,CA,U.S. House California District 45,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-1.4299998999999999,44.040001000000004,Yes,White,No,No,No,No,No,No,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,,H8CA45130,"PORTER, KATHERINE",C,1.0,DEM,6975217.54,800260.74,6891471.01,0.0,0.0,83746.53,257.65,0.0,0.0,0.0,0.0,0.0,5593038.89,CA,45.0,,,,,,543299.5,3487.59,12/31/2018,71788.64,2300.0,porter, katherine,
Kia Hamadanchy,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,-1.4299998999999999,4.150000100000001,No,Nonwhite,No,No,No,No,No,No,No,No,Yes,,No,,Yes,,No,,,,,H8CA45155,"HAMADANCHY, KIA",C,1.0,DEM,655052.65,0.0,655052.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643822.81,CA,45.0,,,,,,11000.0,0.0,08/24/2018,44840.12,0.0,hamadanchy, kia,
Hans Keirstead,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,-4.1799998,37.439999,No,White,No,No,No,Yes,Yes,No,No,No,Yes,,,,,No,,No,,,,H8CA48076,"KEIRSTEAD, HANS",C,1.0,DEM,2178356.89,0.0,2074450.17,0.0,0.0,103906.72,155400.0,925000.0,0.0,0.0,0.0,336666.13,974382.28,CA,48.0,,,,,,29700.0,0.0,12/31/2018,51066.92,0.0,keirstead, hans,
