Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,LAST_NAME,FIRST_NAME,SP_TITLE
Eric Holguin,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,-25.809998999999998,23.299999,Yes,Nonwhite,No,Yes,No,No,No,No,,,,,,,Yes,,,,,,,H8TX27056,"HOLGUIN, ERIC",O,1.0,DEM,202465.79,0.0,198801.62,0.0,0.0,293.49,0.0,0.0,0.0,0.0,0.0,0.0,178112.04,TX,27.0,,,,,,16950.0,5650.0,12/31/2018,0.0,0.0,holguin, eric,
Raul (Roy) Barrera,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Advanced,Lost,None,-25.809998999999998,41.23,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,,,,,,,H6TX27092,"BARRERA, RAUL (ROY)",O,1.0,DEM,12296.18,0.0,10202.04,0.0,2706.35,4800.49,0.0,2600.0,0.0,0.0,0.0,-765.0,7696.18,TX,27.0,,,,,,0.0,2000.0,08/21/2018,0.0,0.0,barrera, raul (roy),
Ronnie McDonald,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,None,None,-25.809998999999998,16.389999,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,H2TX27216,"MCDONALD, RONNIE CHARLES",O,1.0,DEM,16283.93,0.0,16691.62,0.0,500.0,92.31,0.0,0.0,0.0,0.0,0.0,0.0,16283.93,TX,27.0,,,,,,0.0,0.0,07/15/2018,0.0,0.0,mcdonald, ronnie charles,
Augustine Reyes,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,39.970001,2.8299999,No,Nonwhite,Yes,No,No,No,No,No,,No,,,,,No,,,,,,,H8TX29128,"REYES, AUGUSTINE H",O,1.0,DEM,23552.73,0.0,20278.84,0.0,0.0,3273.89,0.0,3125.0,0.0,3125.0,0.0,0.0,20427.73,TX,29.0,,,,,,0.0,0.0,03/31/2018,1800.0,0.0,reyes, augustine h,
Hector Morales,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,39.970001,3.04,No,Nonwhite,No,No,No,No,No,No,,No,,,,,Yes,Yes,,,,,,H8TX29045,"MORALES, HECTOR ADRIAN MR.",O,1.0,DEM,11178.04,0.0,11121.62,700.0,0.0,31.32,105.0,0.0,0.0,0.0,0.0,0.0,11073.04,TX,29.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,morales, hector adrian mr.,
Pedro Valencia,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,39.970001,1.04,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,,,,,,,H8TX29060,"VALENCIA, PEDRO",O,1.0,DEM,5598.35,0.0,5566.46,0.0,0.0,31.89,0.0,3025.0,0.0,1803.0,0.0,1458.47,2573.35,TX,29.0,,,,,,0.0,0.0,06/30/2018,0.0,0.0,valencia, pedro,
Roel Garcia,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,39.970001,6.5900002,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,,,,,,,H8TX29078,"GARCIA, ROEL",O,1.0,DEM,58407.4,0.0,56410.42,0.0,0.0,0.0,266.93,27683.76,0.0,0.0,0.0,0.0,30456.71,TX,29.0,,,,,,0.0,0.0,12/31/2018,500.0,0.0,garcia, roel,
Sylvia Garcia,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Advanced,None,On the Ballot,39.970001,63.259997999999996,Yes,Nonwhite,No,No,Yes,No,No,No,,Yes,,,,,No,,,,,,,H8TX29052,"GARCIA, SYLVIA R",O,1.0,DEM,1249436.99,0.0,1062440.62,0.0,0.0,186996.37,3130.0,0.0,100000.0,0.0,65000.0,35000.0,587892.89,TX,29.0,,,,,,553422.2,4000.0,12/31/2018,2275.0,6000.0,garcia, sylvia r,
Muhammad Tahir Javed,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,39.970001,20.67,No,Nonwhite,No,No,No,Yes,No,No,,No,,,,,No,,,,,,,H8TX29086,"JAVED, MUHAMMAD TAHIR",O,1.0,DEM,1934178.33,0.0,1906960.61,0.0,0.0,27217.72,533416.0,900000.0,0.0,0.0,0.0,100000.0,496522.0,TX,29.0,,,,,,0.0,4000.0,12/31/2018,80000.0,0.0,javed, muhammad tahir,
Adam Bell,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Lost,None,None,-20.709999,17.959999,No,White,No,No,No,No,No,No,,,Yes,,,,,No,,,,,,H8TX03156,"BELL, ADAM CLR NATION",O,1.0,DEM,206193.33,0.0,210279.34,0.0,3991.0,-85.0,0.0,175000.0,0.0,175000.0,0.0,14500.0,31193.33,TX,3.0,,,,,,0.0,0.0,06/30/2018,0.0,0.0,bell, adam clr nation,
